"datetime","date","account_type","category","type","asset_class","name","symbol","shares","price","amount","fee","tax","currency","original_amount","original_currency","fx_rate","description","transaction_id","counterparty_name","counterparty_iban","payment_reference","mcc_code"
"2020-04-01T09:01:47.288389Z","2020-04-01","DEFAULT","CASH","CUSTOMER_INPAYMENT","","","","","","1000.000000","","","EUR","","","","Direct Debit Top up with DE89370400440532013000","049d29ec-6d52-4bc2-937e-7c5b70bc2293","","","",""
"2020-04-03T20:37:17.848749Z","2020-04-03","DEFAULT","CASH","CARD_TRANSACTION","","Apotheke am Markt","","","","-12.810000","","","EUR","","","","TR Card Transaction","f22cf8ae-b6a8-4702-8a6e-d0bd39f0328e","","","","5912"
"2020-04-04T10:13:48.352944Z","2020-04-04","DEFAULT","CASH","CARD_TRANSACTION","","Netflix.com","","","","-13.990000","","","EUR","","","","TR Card Transaction","cc649a24-fcb3-466c-9c25-72f2be93ff27","","","","4899"
"2020-04-09T17:13:42.279946Z","2020-04-09","DEFAULT","CASH","CARD_TRANSACTION","","Amazon.de","","","","-19.710000","","","EUR","","","","TR Card Transaction","6469da1e-1173-48b4-a7f7-0ab963a14b55","","","","5942"
"2020-04-16T13:08:32.517488Z","2020-04-16","DEFAULT","CASH","CARD_TRANSACTION","","MediaMarkt","","","","-88.890000","","","EUR","","","","TR Card Transaction","f3f56f6a-9cb0-47fa-aba7-893cb8940cc6","","","","5732"
"2020-04-17T18:24:38.490785Z","2020-04-17","DEFAULT","CASH","CARD_TRANSACTION","","Netflix.com","","","","-13.990000","","","EUR","","","","TR Card Transaction","94e624b8-8210-40fa-a2b4-1d9f6f96e7ee","","","","4899"
"2020-04-18T14:49:41.356699Z","2020-04-18","DEFAULT","CASH","TRANSFER_INSTANT_OUTBOUND","","","","","","-50.000000","","","EUR","","","","Outgoing transfer for Max Mustermann","67a788a3-a0d9-4fd7-b2da-a2290b5bec09","","","",""
"2020-04-20T09:55:40.312942Z","2020-04-20","DEFAULT","CASH","CARD_TRANSACTION","","Rossmann","","","","-13.680000","","","EUR","","","","TR Card Transaction","a8338202-d9ab-403c-9fc9-e0594bba2e68","","","","5912"
"2020-04-24T10:42:30.992842Z","2020-04-24","DEFAULT","CASH","CARD_TRANSACTION","","Apotheke am Markt","","","","-20.080000","","","EUR","","","","TR Card Transaction","6adc422d-7ee8-4890-bbd7-57ee91badd6d","","","","5912"
"2020-04-28T13:00:04.742225Z","2020-04-28","DEFAULT","CASH","CARD_TRANSACTION","","MediaMarkt","","","","-117.480000","","","EUR","","","","TR Card Transaction","480667d7-bfe0-4afc-805d-9bb427246102","","","","5732"
"2020-05-01T12:06:06.690993Z","2020-05-01","DEFAULT","CASH","CUSTOMER_INPAYMENT","","","","","","400.000000","","","EUR","","","","Direct Debit Top up with DE89370400440532013000","65ed1ac9-3b7e-4e56-a999-d36a07498099","","","",""
